feature,importance_gini
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,0.00016955325129102807
REFUSED_AMT_ANNUITY_MIN,0.00016848062093639522
LIVE_REGION_NOT_WORK_REGION,0.00016478496639620943
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0.00016341789413228217
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,0.00016267688851198545
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,0.0001619206704774197
AMT_ANNUITY,0.0001571773070177157
REFUSED_AMT_ANNUITY_MAX,0.00015539853146548453
APPROVED_AMT_GOODS_PRICE_MAX,0.00015188562937550098
PREV_HOUR_APPR_PROCESS_START_MAX,0.00015115513118637322
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,0.00015020721175241605
CLOSED_DAYS_CREDIT_MIN,0.0001500010521922041
PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,0.00014820064680436403
APPROVED_DAYS_DECISION_MIN,0.00014710124363662096
NAME_FAMILY_STATUS_Separated,0.00014593981021008968
INSTAL_AMT_INSTALMENT_MEAN,0.00014482251559592489
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,0.00014425197824818336
ACTIVE_AMT_CREDIT_SUM_SUM,0.00014335326151123653
APPROVED_APP_CREDIT_PERC_MAX,0.0001431566184776934
PREV_AMT_GOODS_PRICE_MAX,0.00014280675603202332
INSTAL_DAYS_ENTRY_PAYMENT_MAX,0.0001425583886397521
FONDKAPREMONT_MODE_reg oper account,0.00014254650931746297
FLOORSMIN_AVG,0.0001419372111275228
REFUSED_AMT_GOODS_PRICE_MAX,0.00014128110119782355
APPROVED_HOUR_APPR_PROCESS_START_MAX,0.00014025907436145628
ELEVATORS_MEDI,0.000139243194667246
BURO_AMT_CREDIT_SUM_LIMIT_SUM,0.00013900078497833222
PREV_CHANNEL_TYPE_Contact center_MEAN,0.00013770884667034465
REFUSED_APP_CREDIT_PERC_MEAN,0.00013688377319507142
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.00013635571948558413
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,0.00013621925057658867
REFUSED_CNT_PAYMENT_MEAN,0.00013540450732836795
BURO_CREDIT_ACTIVE_Active_MEAN,0.00012977072325153288
ACTIVE_AMT_CREDIT_SUM_MAX,0.00012942398029036333
INSTAL_PAYMENT_DIFF_MEAN,0.00012800639440320197
PREV_AMT_ANNUITY_MEAN,0.0001270817273060961
INSTAL_PAYMENT_DIFF_VAR,0.0001255439478347122
PREV_CODE_REJECT_REASON_SCOFR_MEAN,0.00012497676929258298
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,0.00012447200187836862
APPROVED_DAYS_DECISION_MEAN,0.0001244708557179948
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,0.00012260478722785263
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0001212199481653529
BURO_AMT_CREDIT_SUM_MEAN,0.00011930598905759507
FLAG_DOCUMENT_6,0.0001187091921775851
NONLIVINGAPARTMENTS_AVG,0.00011781948393952656
INSTAL_AMT_PAYMENT_MIN,0.00011418392718609854
APPROVED_AMT_CREDIT_MIN,0.00011334517663378263
PREV_AMT_ANNUITY_MIN,0.00011134814801150551
PREV_AMT_CREDIT_MEAN,0.00011063633553786136
PREV_AMT_GOODS_PRICE_MIN,0.00010955196733596968
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0.0001082951500566903
